PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
57.68,56.14,140642.91,10136140.6791,135620.61,9422565.0315,9770479.9362,140567.07,135546.88,10130388.9735,9417128.9186,9766483.88,9765728.7593,9764888.253,10131273.9929,9417906.6906,140585.65,135565.43,10132861.9715,9419520.1991,9767320.3294,0.835944519161
75.27,72.72,140820.51,10159831.7255,135794.39,9444915.5917,9793491.0129,140745.24,135721.67,10154166.1526,9439627.3933,9789537.7848,9788782.7298,9788017.3785,10154972.8023,9440331.1568,140762.63,135739.23,10156481.6311,9441872.9661,9792255.3038,0.835944519161
73.19,70.32,140989.48,10182082.9084,135949.53,9464787.9143,9814533.2881,140916.29,135879.21,10176726.1323,9459843.0119,9810654.2319,9809773.8731,9809386.5673,10177275.9065,9460177.9882,140929.82,135890.9,10178523.5928,9461350.4374,9814838.0747,0.835944519161
72.46,69.94,141120.62,10199602.672,136078.01,9481160.8233,9831482.3187,141048.16,136008.07,10194352.2204,9476269.2197,9827572.5053,9826983.5901,9826414.4663,10194788.3315,9476775.7228,141059.95,136022.85,10195921.8231,9478118.1977,9834273.941,0.835944519161
73.17,68.7,141249.05,10216657.8141,136217.14,9498538.1444,9848741.5818,141175.88,136148.44,10211303.9652,9493818.4544,9845049.3828,9844178.8855,9843714.8028,10211927.0646,9494226.1394,141190.65,136161.75,10213247.2541,9495470.0923,9854149.4931,0.835944519161
70.11,69.95,141376.34,10233213.0434,136350.76,9514964.9382,9865245.4824,141306.23,136280.81,10228297.6313,9510071.9357,9861537.9854,9860971.068,9860341.2879,10228774.6276,9510640.391,141319.21,136296.74,10229949.2065,9512046.7778,9873128.1723,0.835944519161
73.0,70.38,141535.11,10253411.1467,136515.92,9535315.4992,9885530.4887,141462.11,136445.54,10248082.1467,9530362.1548,9881871.9408,9881146.8164,9880392.7487,10248849.5685,9531048.9544,141479.48,136463.57,10250316.4498,9532574.9767,9894784.8452,0.835944519161
71.21,70.95,141720.72,10276738.365,136705.75,9558117.0503,9908595.6064,141649.51,136634.8,10271667.5009,9553083.1478,9905112.768,9904492.4478,9903543.2569,10272531.7469,9553956.0978,141669.28,136656.29,10274092.2914,9555670.7587,9920088.5506,0.835944519161
75.55,72.45,141931.67,10303168.7153,136921.81,9584411.9603,9934965.8571,141856.12,136849.36,10297460.9128,9579162.9578,9931328.8053,9930495.4161,9929492.2596,10298597.0875,9580088.1578,141879.32,136871.28,10300428.1928,9581858.6794,9947490.9175,0.835944519161
75.82,72.72,142144.46,10330344.8828,137123.96,9609404.517,9961025.433,142068.64,137051.24,10324596.2104,9604116.3186,9957241.3992,9956404.8645,9955511.8026,10325618.9117,9604934.8946,142089.63,137071.01,10327338.5539,9606600.8145,9975212.652,0.835944519161
77.67,74.01,142365.78,10359694.5154,137331.28,9636025.3426,9988981.3819,142288.11,137257.27,10353661.8865,9630547.8625,9985029.5666,9984086.5585,9983233.0252,10354755.0339,9631322.9156,142309.66,137275.83,10356545.061,9632950.6401,10005129.4101,0.835944519161
